window_duration,total_packets,total_bytes,packets_per_sec,bytes_per_sec,pkt_size_mean,pkt_size_std,pkt_size_min,pkt_size_max,pkt_size_median,pkt_size_q25,pkt_size_q75,pkt_size_skew,pkt_size_iqr,size_bin_tiny,size_bin_small,size_bin_medium,size_bin_large,size_bin_jumbo,payload_mean,payload_std,payload_max,payload_zero_ratio,payload_total,iat_mean,iat_std,iat_min,iat_max,iat_median,iat_q25,iat_q75,upload_packets,download_packets,upload_ratio,download_ratio,up_down_ratio,up_bytes_total,up_size_mean,up_size_std,up_size_max,down_bytes_total,down_size_mean,down_size_std,down_size_max,up_iat_mean,up_iat_std,down_iat_mean,down_iat_std,n_bursts,avg_burst_size,max_burst_size,burst_ratio,n_unique_dst_ports,tcp_ratio,udp_ratio,quic_ratio,pss_0,pss_1,pss_2,pss_3,pss_4,pss_5,pss_6,pss_7,pss_8,pss_9,pss_10,pss_11,pss_12,pss_13,pss_14,pss_15,pss_16,pss_17,pss_18,pss_19,pss_20,pss_21,pss_22,pss_23,pss_24,pss_25,pss_26,pss_27,pss_28,pss_29,pss_30,pss_31,pss_32,pss_33,pss_34,pss_35,pss_36,pss_37,pss_38,pss_39,pss_40,pss_41,pss_42,pss_43,pss_44,pss_45,pss_46,pss_47,pss_48,pss_49,app
2.964066982269287,112,37264,37.78592071973114,12571.915622321974,332.7142857142857,385.16423743114876,138,1354,154.0,138.0,222.0,2.010192867622563,84.0,0.0,0.7946428571428571,0.0625,0.017857142857142856,0.125,290.7142857142857,385.16423743114876,1312,0.0,32560,0.026703306146570155,0.13032696038678962,0.0003268718719482422,1.307440996170044,0.000720977783203125,0.0005035400390625,0.001067519187927246,59,53,0.5267857142857143,0.4732142857142857,1.1132075471698113,17934,303.96610169491527,360.12681222703094,1354,19330,364.7169811320755,408.8764345963765,1306,0.051104603142573916,0.1782646926363942,0.028108771030719463,0.06234004005358645,12,9.333333333333334,24,1.0,2,0.0,1.0,0.0,154,202,586,138,138,170,-138,-138,-138,-170,-234,-218,-234,138,154,-170,138,1306,170,1306,-138,-170,-506,-1306,138,154,138,-1306,-1306,-1290,1306,154,-1306,-1306,-1306,-1290,1306,154,202,170,602,202,170,602,-234,138,-138,-154,-170,154,vpn-youtube
2.992027759552002,471,240434,157.41832558081717,80358.21166177961,510.4755838641189,524.964229838374,122,1466,170.0,138.0,1066.0,0.9643323107410847,928.0,0.0,0.6390658174097664,0.05307855626326964,0.05307855626326964,0.25477707006369427,468.4755838641189,524.964229838374,1424,0.0,220652,0.0063660165096851105,0.06140977208063666,0.00023221969604492188,1.307440996170044,0.0005195140838623047,0.00032585859298706055,0.0008357763290405273,254,217,0.5392781316348195,0.4607218683651805,1.1705069124423964,104168,410.1102362204724,466.0261766218659,1454,136266,627.9539170506912,564.235217231999,1466,0.01136474647069637,0.08339849973352663,0.013678258215939557,0.1006279586305602,10,47.0,135,0.9978768577494692,2,0.0,1.0,0.0,-138,-138,138,154,154,154,138,154,-202,138,-810,1354,1354,-186,-154,1354,1354,138,-186,138,138,138,-138,138,1454,634,-138,138,1454,618,-154,-1354,-1354,-1354,1354,-138,-138,138,138,-154,1454,538,1454,602,-1354,-1354,-1354,-1354,-1354,-1354,vpn-youtube
2.8889219760894775,886,474920,306.6887951052639,164393.5017735801,536.0270880361173,539.2799389365193,122,1466,170.0,138.0,1210.0,0.8493283900801292,1072.0,0.0,0.6173814898419865,0.05417607223476298,0.05304740406320542,0.27539503386004516,494.0270880361174,539.2799389365193,1424,0.0,437708,0.0032643186170502572,0.010295045384021198,0.00023221969604492188,0.1136932373046875,0.0005359649658203125,0.00034618377685546875,0.0008442401885986328,447,439,0.5045146726862303,0.49548532731376976,1.0182232346241458,188002,420.586129753915,476.777555742681,1454,286918,653.5717539863326,572.8000829751833,1466,0.006475932929547913,0.01585382673259233,0.006583369485863812,0.0160598760219379,12,73.83333333333333,190,1.0,2,0.0,1.0,0.0,-202,138,-810,1354,1354,-186,-154,1354,1354,138,-186,138,138,138,-138,138,1454,634,-138,138,1454,618,-154,-1354,-1354,-1354,1354,-138,-138,138,138,-154,1454,538,1454,602,-1354,-1354,-1354,-1354,-1354,-1354,-858,-1322,-170,1354,154,154,154,186,vpn-youtube
2.633270025253296,730,427808,277.2218545759586,162462.63994853655,586.0383561643836,556.6459031938556,122,1466,178.0,138.0,1354.0,0.6323850976202086,1216.0,0.0,0.5726027397260274,0.056164383561643834,0.052054794520547946,0.31917808219178084,544.0383561643836,556.6459031938556,1424,0.0,397148,0.0036121673871787325,0.010681379875771304,0.00023794174194335938,0.1136932373046875,0.0005869865417480469,0.0003879070281982422,0.0011179447174072266,337,393,0.46164383561643835,0.5383561643835616,0.8575063613231552,143126,424.70623145400594,484.8402714030934,1454,284682,724.3816793893129,576.6496432530296,1466,0.007661964212145124,0.01651772812340787,0.006691088481825225,0.015547102313318394,9,81.11111111111111,234,1.0,2,0.0,1.0,0.0,202,202,586,586,698,602,234,202,1454,922,1454,922,154,-138,-1466,-1466,-138,138,138,138,-1466,-1466,138,138,154,-1466,-1466,138,138,138,-1466,-906,138,-138,-138,-138,-138,-138,-1466,-1466,138,138,138,-1466,-1466,138,138,138,-1466,-1466,vpn-youtube
2.9927542209625244,948,690612,316.76506990109795,230761.3485807353,728.493670886076,587.4269798970738,122,1466,490.0,138.0,1354.0,0.13155443914339915,1216.0,0.0,0.4694092827004219,0.04535864978902954,0.04113924050632911,0.4440928270042194,686.493670886076,587.4269798970738,1424,0.0,650796,0.0031602473294218844,0.015556665162592978,0.0002608299255371094,0.38233232498168945,0.0005500316619873047,0.00036156177520751953,0.0010263919830322266,443,505,0.46729957805907174,0.5327004219409283,0.8772277227722772,238042,537.3408577878104,549.9269139424539,1454,452570,896.1782178217821,567.7265901027494,1466,0.006765201080978186,0.025544243233023064,0.005937107498683627,0.02304253930741259,9,105.33333333333333,350,1.0,2,0.0,1.0,0.0,-1354,-1354,-1354,138,-1354,138,-1354,-154,-154,-1354,-1354,-1354,-1354,-1354,-1354,-1354,1354,1354,138,-618,-746,-202,-1354,-1354,-1354,-858,-1354,-698,138,154,154,154,154,186,186,1354,1354,426,186,170,490,-138,138,138,-138,138,1454,538,-202,138,vpn-youtube
2.978303909301758,1243,947926,417.35163296059085,318277.12311005715,762.6114239742558,590.2332463107331,138,1466,682.0,138.0,1354.0,0.009565486194361622,1216.0,0.0,0.4505229283990346,0.03700724054706356,0.030571198712791632,0.48189863234111024,720.6114239742558,590.2332463107331,1424,0.0,895720,0.002397990265138291,0.010391221266292754,0.0002586841583251953,0.15609288215637207,0.0004974603652954102,0.0003287792205810547,0.0008220076560974121,551,692,0.4432823813354787,0.5567176186645213,0.796242774566474,289518,525.4410163339383,547.6566078598362,1454,658408,951.456647398844,553.624655954958,1466,0.005415098016912287,0.02077298383463899,0.004282638063996642,0.017282966344438773,8,155.125,915,0.998390989541432,2,0.0,1.0,0.0,170,-1450,-1450,-1466,-1450,-1434,-1466,-426,138,-522,138,138,138,138,138,138,138,266,234,1454,602,778,202,218,1454,1454,-138,-170,-506,138,154,-138,-138,-138,-138,-138,-138,-138,-138,-138,1454,778,778,-170,-138,-138,-138,138,-138,-1354,vpn-youtube
2.994227170944214,841,552022,280.8738121679642,184362.0969566991,656.3876337693223,577.4957187289675,122,1466,202.0,138.0,1354.0,0.3490865784057324,1216.0,0.0,0.5315101070154578,0.041617122473246136,0.027348394768133173,0.3995243757431629,614.3876337693223,577.4957187289675,1424,0.0,516700,0.003564556155885969,0.01624425142228755,0.0002586841583251953,0.26216697692871094,0.0005403757095336914,0.00033783912658691406,0.0008332729339599609,368,473,0.43757431629013077,0.5624256837098692,0.7780126849894292,157756,428.6847826086956,499.38576248070086,1454,394266,833.5433403805497,572.0323128440202,1466,0.008158657141537368,0.03309880096504109,0.006271879046650256,0.024627457472933687,10,83.9,565,0.9976218787158145,2,0.0,1.0,0.0,138,-1354,-138,-1354,138,1454,570,138,-138,-138,-138,-1354,-1354,138,-442,-714,-170,138,-1354,-1354,138,-186,-154,-1354,-1354,138,-1354,154,-1354,138,-1354,-1354,138,-1354,-1354,138,-1354,-1354,-138,-234,-1210,-1466,-1354,138,138,138,1354,1354,-138,-1466,vpn-youtube
2.9949750900268555,398,233064,132.88925217619462,77818.34338993122,585.5879396984925,569.371787337903,122,1466,154.0,138.0,1354.0,0.6161659498489143,1216.0,0.0,0.592964824120603,0.04522613065326633,0.022613065326633167,0.3391959798994975,543.5879396984925,569.371787337903,1424,0.0,216348,0.0075440178590097115,0.033137068982025154,0.00028014183044433594,0.4790220260620117,0.0007498264312744141,0.00048613548278808594,0.003251791000366211,186,212,0.46733668341708545,0.5326633165829145,0.8773584905660378,61744,331.9569892473118,429.2090728975822,1454,171320,808.1132075471698,583.9742066020588,1466,0.016189054540685706,0.053810844293554067,0.013652971005552753,0.05332465860319394,11,36.09090909090909,163,0.9974874371859297,2,0.0,1.0,0.0,1454,1418,-138,-138,-138,-906,-170,138,170,1454,1454,138,-138,-138,-138,-138,1454,154,1354,1354,1290,-138,682,138,154,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,1354,-490,-170,138,138,vpn-youtube
2.758594036102295,400,310122,145.0014009909094,112420.31119525699,775.305,637.1037293683031,138,1466,495.5,138.0,1466.0,0.03965250953550946,1328.0,0.0,0.49,0.015,0.0075,0.4875,731.22,638.8151153502866,1424,0.005,292488,0.00691376951404084,0.034382769364806616,0.00031113624572753906,0.4790220260620117,0.0007588863372802734,0.0006810426712036133,0.0026274919509887695,192,208,0.48,0.52,0.9230769230769231,34010,177.13541666666666,191.9243893976472,1454,276112,1327.4615384615386,333.79268448097804,1466,0.014078151493172372,0.056135640378451236,0.013326541237209154,0.059660416592608345,10,39.7,230,0.9925,3,0.0,1.0,0.0,-138,-1354,-1354,-1354,-378,-1354,-1354,-1354,-234,138,138,138,138,-1354,-1354,138,-1354,-1354,138,-1354,-1354,138,-1354,-1354,138,-1354,-1354,138,-1354,-1354,138,-1354,-1354,138,-1354,-1354,138,-1354,-1354,138,-1354,-1354,138,-1354,-1354,138,-1354,-1354,138,-1354,vpn-youtube
2.9158952236175537,545,420236,186.90657866775317,144119.0330147191,771.0752293577982,617.0040011700165,138,1466,698.0,138.0,1354.0,0.016480283112462094,1216.0,0.0,0.47155963302752296,0.025688073394495414,0.011009174311926606,0.4917431192660551,727.5449541284404,618.2915780617282,1424,0.003669724770642202,396512,0.005360101514002856,0.03792950325755729,0.00026488304138183594,0.7628078460693359,0.0006324052810668945,0.000420987606048584,0.0007992386817932129,257,288,0.47155963302752296,0.5284403669724771,0.8923611111111112,63500,247.0817120622568,328.9010902616149,1354,356736,1238.6666666666667,400.2771262235425,1466,0.01131959818303585,0.062077861822500226,0.010159913671141302,0.06295411175424057,10,54.3,230,0.9963302752293578,3,0.0,1.0,0.0,-1466,-1466,138,138,138,-1466,-1466,138,138,-1466,-1466,138,138,-1466,-1466,138,138,138,-1466,-1466,138,138,-1466,-1466,138,138,-1466,-1466,138,138,138,-1466,-1466,138,138,-1466,-1466,138,138,-1466,-1466,138,138,138,-1466,-1466,138,138,138,-1466,vpn-youtube
